seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,1450,10432,63141,0.000,1.593,1.5931,2.0,42.0,CHAMPAIGN
1,95004,63141,63205,1.593,1.668,0.0752,1.0,14.0,
2,95126,63205,63204,1.668,1.908,0.2396,1.0,55.0,
3,95125,63204,64798,1.908,2.188,0.2800,1.0,55.0,
4,98435,64798,64940,2.188,2.607,0.4194,1.0,55.0,
5,98757,64940,63143,2.607,3.124,0.5165,1.0,55.0,
6,95006,63143,63144,3.124,6.441,3.3167,1.0,55.0,
7,95008,63144,63149,6.441,11.166,4.7258,1.0,55.0,
8,95018,63149,63148,11.166,11.334,0.1673,1.0,55.0,
9,95016,63148,65374,11.334,11.366,0.0323,1.0,55.0,
10,99614,65374,62648,11.366,11.475,0.1086,1.0,55.0,
11,93941,62648,62647,11.475,16.204,4.7297,1.0,55.0,
12,93938,62647,62422,16.204,17.372,1.1677,1.0,55.0,
13,93414,62422,62421,17.372,18.640,1.2678,1.0,55.0,
14,93411,62421,62255,18.640,19.686,1.0468,1.0,55.0,
15,93054,62255,62254,19.686,22.550,2.8639,1.0,55.0,
16,93052,62254,61842,22.550,24.255,1.7047,2.0,55.0,
17,92183,61842,62200,24.255,24.458,0.2032,2.0,55.0,
18,92933,62200,62678,24.458,26.871,2.4131,2.0,55.0,
19,94011,62678,62417,26.871,28.504,1.6325,1.0,55.0,
20,93403,62417,62418,28.504,31.457,2.9533,1.0,55.0,
21,93406,62418,62419,31.457,32.412,0.9551,1.0,55.0,
22,93408,62419,62420,32.412,34.460,2.0472,1.0,55.0,
23,93410,62420,62669,34.460,37.806,3.3464,1.0,55.0,
24,93991,62669,62670,37.806,41.546,3.7397,1.0,55.0,
25,93992,62670,63442,41.546,41.916,0.3701,1.0,55.0,
26,95640,63442,62337,41.916,42.920,1.0042,1.0,55.0,
27,93218,62337,62336,42.920,45.038,2.1184,1.0,55.0,
28,93217,62336,62671,45.038,46.648,1.6093,2.0,55.0,
29,93994,62671,62673,46.648,47.248,0.6001,2.0,42.0,
30,94000,62673,63500,47.248,47.272,0.0241,2.0,42.0,
31,95762,63500,62203,47.272,47.324,0.0523,2.0,42.0,
32,92940,62203,62202,47.324,48.218,0.8939,2.0,42.0,
33,92939,62202,35857,48.218,48.350,0.1317,2.0,42.0,
34,38997,35857,35856,48.350,49.009,0.6591,2.0,42.0,
35,38995,35856,33324,49.009,53.589,4.5799,1.0,55.0,
36,33876,33324,33323,53.589,54.651,1.0618,1.0,55.0,
37,33874,33323,30852,54.651,58.801,4.1506,1.0,55.0,
38,28745,30852,30851,58.801,58.980,0.1787,1.0,55.0,
39,28743,30851,32307,58.980,60.969,1.9888,1.0,55.0,
40,31744,32307,30192,60.969,61.556,0.5870,1.0,55.0,
41,27368,30192,30191,61.556,65.482,3.9267,1.0,55.0,
42,27367,30191,31709,65.482,66.351,0.8682,1.0,55.0,
43,30494,31709,31708,66.351,70.626,4.2754,1.0,55.0,
44,30492,31708,33865,70.626,71.459,0.8326,1.0,55.0,
45,34949,33865,35941,71.459,72.505,1.0460,1.0,55.0,
46,39166,35941,36081,72.505,73.205,0.7002,1.0,42.0,
47,39441,36081,31762,73.205,73.539,0.3340,1.0,42.0,
48,30593,31762,10450,73.539,74.955,1.4161,2.0,42.0,
49,1515,10450,29541,74.955,75.889,0.9342,2.0,42.0,EFFINGHAM
50,26022,29541,35553,75.889,76.064,0.1748,1.0,42.0,
51,38397,35553,30040,76.064,77.430,1.3656,1.0,55.0,
52,27058,30040,30039,77.430,79.924,2.4948,1.0,55.0,
53,27056,30039,34795,79.924,85.833,5.9082,1.0,55.0,
54,36810,34795,30131,85.833,88.912,3.0792,1.0,55.0,
55,27249,30131,30130,88.912,89.143,0.2311,1.0,55.0,
56,27246,30130,30317,89.143,89.545,0.4023,1.0,55.0,
57,27636,30317,30316,89.545,91.283,1.7374,1.0,55.0,
58,27633,30316,35795,91.283,92.882,1.5998,1.0,55.0,
59,38875,35795,35888,92.882,97.102,4.2193,1.0,55.0,
60,39062,35888,36243,97.102,97.818,0.7166,1.0,55.0,
61,39743,36243,29364,97.818,98.138,0.3199,1.0,55.0,
62,25663,29364,29363,98.138,103.714,5.5758,1.0,55.0,
63,25659,29363,33087,103.714,108.013,4.2992,1.0,55.0,
64,33351,33087,33254,108.013,109.298,1.2846,1.0,55.0,
65,33709,33254,35070,109.298,112.369,3.0712,1.0,55.0,
66,37360,35070,33895,112.369,113.393,1.0239,1.0,55.0,
67,35005,33895,33894,113.393,117.673,4.2800,1.0,55.0,
68,35003,33894,33095,117.673,118.649,0.9760,1.0,55.0,
69,33369,33095,32322,118.649,121.518,2.8691,1.0,55.0,
70,31770,32322,32321,121.518,124.279,2.7609,2.0,55.0,
71,31767,32321,33566,124.279,125.587,1.3076,2.0,35.0,
72,34363,33566,33567,125.587,126.719,1.1328,2.0,35.0,
73,34365,33567,34200,126.719,126.959,0.2397,2.0,25.0,
74,35632,34200,33771,126.959,127.555,0.5962,2.0,25.0,
75,34762,33771,33772,127.555,128.003,0.4478,2.0,25.0,
76,34765,33772,10145,128.003,130.272,2.2691,2.0,55.0,
