from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,1.66,41.00,41.00,2,4,1
2,3,10.62,41.00,41.00,1,4,1
3,4,13.04,41.00,41.00,1,4,1
4,5,15.86,41.00,41.00,1,4,1
5,6,10.13,41.00,41.00,1,4,1
6,7,12.68,41.00,41.00,1,4,1
7,8,10.03,41.00,41.00,1,4,1
8,9,11.54,41.00,41.00,1,4,1
9,10,10.38,41.00,41.00,1,4,1
10,11,10.63,41.00,41.00,1,4,1
11,12,10.28,41.00,41.00,1,4,1
12,13,12.38,41.00,41.00,1,4,1
13,14,10.29,41.00,41.00,1,4,1
14,15,13.22,41.00,41.00,1,4,1
15,16,10.66,41.00,41.00,1,4,1
16,17,15.23,41.00,41.00,1,4,1
17,18,10.90,41.00,41.00,1,4,1
18,19,15.76,41.00,41.00,1,4,1
19,20,4.31,41.00,41.00,1,4,1
20,21,0.22,41.00,41.00,2,4,1
