from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,3.59,14.00,14.00,2,4,1
2,3,1.63,39.00,39.00,2,4,1
3,4,10.70,55.00,55.00,1,4,1
4,5,12.99,55.00,55.00,1,4,1
5,6,14.90,55.00,55.00,1,4,1
6,7,12.67,55.00,55.00,1,4,1
7,8,14.95,55.00,55.00,1,4,1
8,9,17.58,55.00,55.00,1,4,1
9,10,12.63,55.00,55.00,1,4,1
10,11,12.36,55.00,55.00,1,4,1
11,12,13.41,55.00,55.00,1,4,1
12,13,2.61,55.00,55.00,1,4,1
13,14,7.56,42.00,42.00,1,4,1
14,15,11.92,55.00,55.00,1,4,1
15,16,4.51,54.47,54.47,1,4,1
16,17,0.84,25.00,25.00,2,4,1
17,18,12.95,53.23,53.23,2,4,1
18,19,11.20,55.00,55.00,2,4,1
19,20,13.22,55.00,55.00,2,4,1
20,21,10.19,55.00,55.00,2,4,1
21,22,1.40,55.00,55.00,2,4,1
