train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01M,1,22,1,0,0,0,1.0,0,0,0,0,250
EB02Z,1,22,1,0,0,0,1.25,125,0,0,0,328
EB03M,1,22,1,0,0,0,1.0,251,0,0,0,501
EB04G,1,22,1,0,0,0,0.85,377,0,0,0,669
EB05Z,1,22,1,0,0,0,1.25,502,0,0,0,705
EB06M,1,22,1,0,0,0,1.0,628,0,0,0,878
EB07G,1,22,1,0,0,0,0.85,754,0,0,0,1046
EB08Z,1,22,1,0,0,0,1.25,880,0,0,0,1083
WB01M,22,1,2,0,0,0,1.0,17,0,0,0,267
WB02Z,22,1,2,0,0,0,1.25,142,0,0,0,345
WB03M,22,1,2,0,0,0,1.0,268,0,0,0,518
WB04G,22,1,2,0,0,0,0.85,394,0,0,0,686
WB05Z,22,1,2,0,0,0,1.25,519,0,0,0,722
WB06M,22,1,2,0,0,0,1.0,645,0,0,0,895
WB07G,22,1,2,0,0,0,0.85,771,0,0,0,1063
WB08Z,22,1,2,0,0,0,1.25,897,0,0,0,1100
