seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,6442,11798,31882,0.000,0.398,0.3976,2.0,49.0,SAND CREEK
1,30834,31882,31070,0.398,0.536,0.1387,1.0,49.0,
2,29190,31070,31069,0.536,0.574,0.0378,1.0,49.0,
3,29188,31069,34688,0.574,0.805,0.2312,1.0,49.0,
4,36596,34688,33161,0.805,3.827,3.0214,2.0,14.0,
5,33526,33161,32904,3.827,6.745,2.9189,2.0,46.0,
6,32990,32904,32397,6.745,7.534,0.7888,2.0,46.0,
7,31915,32397,31632,7.534,12.421,4.8869,1.0,32.0,
8,30333,31632,31631,12.421,15.941,3.5196,1.0,42.0,
9,30332,31631,32780,15.941,18.443,2.5023,1.0,42.0,
10,32705,32780,30795,18.443,21.989,3.5458,1.0,20.0,
11,28626,30795,30796,21.989,24.941,2.9517,1.0,20.0,
12,28629,30796,32680,24.941,26.561,1.6203,1.0,20.0,
13,32507,32680,33434,26.561,28.771,2.2104,1.0,20.0,
14,34103,33434,31294,28.771,29.759,0.9875,1.0,20.0,
15,29641,31294,31293,29.759,31.712,1.9535,1.0,20.0,
16,29638,31293,33711,31.712,35.256,3.5438,1.0,20.0,
17,34641,33711,34602,35.256,36.849,1.5934,1.0,20.0,
18,36422,34602,35899,36.849,37.122,0.2721,1.0,20.0,
19,39086,35899,35898,37.122,37.910,0.7882,1.0,20.0,
20,39084,35898,34128,37.910,38.517,0.6074,1.0,32.0,
21,35468,34128,33837,38.517,41.612,3.0951,1.0,32.0,
22,34898,33837,29350,41.612,42.031,0.4188,1.0,25.0,
23,25636,29350,29349,42.031,42.272,0.2414,1.0,32.0,
24,25633,29349,31290,42.272,43.242,0.9699,1.0,32.0,
25,29633,31290,31289,43.242,46.178,2.9360,1.0,32.0,
26,29630,31289,32718,46.178,48.052,1.8734,1.0,35.0,
27,32591,32718,33799,48.052,49.888,1.8357,1.0,23.0,
28,34821,33799,29771,49.888,50.031,0.1437,1.0,23.0,
29,26503,29771,29770,50.031,50.617,0.5860,1.0,28.0,
30,26502,29770,35402,50.617,53.175,2.5575,1.0,28.0,
31,38092,35402,35938,53.175,57.024,3.8495,1.0,28.0,
32,39160,35938,34837,57.024,58.461,1.4371,1.0,25.0,
33,36896,34837,33473,58.461,62.240,3.7786,1.0,21.0,
34,34179,33473,33117,62.240,62.584,0.3446,1.0,46.0,
35,33415,33117,31494,62.584,63.243,0.6589,1.0,46.0,
36,30042,31494,31493,63.243,65.458,2.2145,1.0,46.0,
37,30040,31493,31492,65.458,65.635,0.1776,1.0,46.0,
38,30039,31492,31491,65.635,66.186,0.5511,1.0,39.0,
39,30037,31491,34107,66.186,67.073,0.8867,1.0,39.0,
40,35428,34107,33690,67.073,74.456,7.3824,1.0,21.0,
41,34599,33690,33689,74.456,75.418,0.9621,1.0,49.0,
42,34597,33689,32559,75.418,75.449,0.0309,1.0,49.0,
43,32250,32559,32558,75.449,75.781,0.3329,1.0,49.0,
44,32248,32558,32137,75.781,76.241,0.4597,1.0,49.0,
45,31379,32137,32136,76.241,84.230,7.9885,1.0,49.0,
46,31377,32136,34957,84.230,84.462,0.2324,1.0,42.0,
47,37137,34957,34934,84.462,84.661,0.1992,1.0,42.0,
48,37095,34934,34933,84.661,86.183,1.5218,1.0,42.0,
49,37094,34933,32443,86.183,92.282,6.0988,1.0,39.0,
50,32012,32443,31292,92.282,93.738,1.4556,1.0,49.0,
51,29636,31292,31291,93.738,97.194,3.4565,1.0,49.0,
52,29635,31291,35180,97.194,98.400,1.2057,1.0,49.0,
53,37578,35180,36219,98.400,101.623,3.2234,1.0,49.0,
54,39695,36219,35978,101.623,102.007,0.3839,1.0,49.0,
55,39235,35978,30691,102.007,102.307,0.2998,1.0,49.0,
56,28415,30691,30690,102.307,103.032,0.7255,1.0,49.0,
57,28413,30690,68220,103.032,104.880,1.8480,1.0,49.0,
58,105310,68220,36120,104.880,106.233,1.3524,1.0,25.0,
59,39510,36120,34813,106.233,110.632,4.3987,1.0,25.0,
60,36845,34813,34812,110.632,111.170,0.5384,1.0,20.0,
61,36843,34812,31482,111.170,115.811,4.6415,1.0,20.0,
62,30016,31482,31481,115.811,116.280,0.4687,1.0,25.0,
63,30013,31481,35573,116.280,118.772,2.4920,1.0,25.0,
64,38438,35573,35572,118.772,122.792,4.0203,1.0,28.0,
65,38437,35572,35483,122.792,126.742,3.9497,1.0,20.0,
66,38257,35483,32773,126.742,128.517,1.7749,1.0,20.0,
67,32691,32773,32772,128.517,129.382,0.8653,1.0,39.0,
68,32689,32772,33636,129.382,130.474,1.0914,1.0,39.0,
69,34494,33636,33635,130.474,141.381,10.9073,1.0,28.0,
70,34492,33635,32738,141.381,154.447,13.0660,1.0,28.0,
71,32627,32738,32737,154.447,166.165,11.7176,1.0,28.0,
72,32625,32737,29910,166.165,166.413,0.2486,1.0,28.0,
73,26796,29910,29909,166.413,170.088,3.6743,1.0,28.0,
74,26793,29909,30010,170.088,172.688,2.6003,1.0,21.0,
75,26996,30010,35347,172.688,175.263,2.5751,1.0,21.0,
76,37990,35347,29233,175.263,179.661,4.3980,1.0,21.0,
77,25408,29233,29232,179.661,184.722,5.0612,1.0,21.0,
78,25406,29232,30540,184.722,184.930,0.2081,1.0,35.0,
79,28103,30540,30539,184.930,185.476,0.5459,1.0,35.0,
80,28100,30539,11847,185.476,185.823,0.3468,2.0,35.0,
