train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01Z,1,17,1,0,0,0,1.25,0,0,0,0,154
EB02Z,1,17,1,0,0,0,1.25,13,0,0,0,167
EB03Z,1,17,1,0,0,0,1.25,26,0,0,0,180
EB04Z,1,17,1,0,0,0,1.25,39,0,0,0,193
EB05M,1,17,1,0,0,0,1.0,101,0,0,0,293
EB06Z,1,17,1,0,0,0,1.25,126,0,0,0,280
EB07M,1,17,1,0,0,0,1.0,151,0,0,0,343
EB08Z,1,17,1,0,0,0,1.25,176,0,0,0,330
EB09M,1,17,1,0,0,0,1.0,202,0,0,0,394
EB10Z,1,17,1,0,0,0,1.25,227,0,0,0,381
EB11M,1,17,1,0,0,0,1.0,252,0,0,0,444
EB12Z,1,17,1,0,0,0,1.25,277,0,0,0,431
EB13M,1,17,1,0,0,0,1.0,303,0,0,0,495
EB14G,1,17,1,0,0,0,0.85,328,0,0,0,550
EB15Z,1,17,1,0,0,0,1.25,353,0,0,0,507
EB16M,1,17,1,0,0,0,1.0,378,0,0,0,570
EB17G,1,17,1,0,0,0,0.85,404,0,0,0,626
EB18Z,1,17,1,0,0,0,1.25,429,0,0,0,583
EB19M,1,17,1,0,0,0,1.0,454,0,0,0,646
EB20G,1,17,1,0,0,0,0.85,480,0,0,0,702
WB01Z,17,1,2,0,0,0,1.25,17,0,0,0,171
WB02Z,17,1,2,0,0,0,1.25,30,0,0,0,184
WB03Z,17,1,2,0,0,0,1.25,43,0,0,0,197
WB04Z,17,1,2,0,0,0,1.25,56,0,0,0,210
WB05M,17,1,2,0,0,0,1.0,118,0,0,0,310
WB06Z,17,1,2,0,0,0,1.25,143,0,0,0,297
WB07M,17,1,2,0,0,0,1.0,168,0,0,0,360
WB08Z,17,1,2,0,0,0,1.25,193,0,0,0,347
WB09M,17,1,2,0,0,0,1.0,219,0,0,0,411
WB10Z,17,1,2,0,0,0,1.25,244,0,0,0,398
WB11M,17,1,2,0,0,0,1.0,269,0,0,0,461
WB12Z,17,1,2,0,0,0,1.25,294,0,0,0,448
WB13M,17,1,2,0,0,0,1.0,320,0,0,0,512
WB14G,17,1,2,0,0,0,0.85,345,0,0,0,567
WB15Z,17,1,2,0,0,0,1.25,370,0,0,0,524
WB16M,17,1,2,0,0,0,1.0,395,0,0,0,587
WB17G,17,1,2,0,0,0,0.85,421,0,0,0,643
WB18Z,17,1,2,0,0,0,1.25,446,0,0,0,600
WB19M,17,1,2,0,0,0,1.0,471,0,0,0,663
WB20G,17,1,2,0,0,0,0.85,497,0,0,0,719
