seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,5753,11609,34806,0.000,4.185,4.1851,2.0,25.0,BAILEY
1,36831,34806,35148,4.185,4.241,0.0554,4.0,25.0,
2,37517,35148,33036,4.241,4.762,0.5216,3.0,25.0,
3,33257,33036,32541,4.762,5.434,0.6723,3.0,25.0,
4,32210,32541,29591,5.434,6.957,1.5226,3.0,49.0,
5,26131,29591,29592,6.957,12.409,5.4518,3.0,49.0,
6,26133,29592,35672,12.409,16.064,3.6549,3.0,49.0,
7,38636,35672,32667,16.064,17.420,1.3562,3.0,49.0,
8,32481,32667,32668,17.420,24.124,6.7038,3.0,49.0,
9,32483,32668,33268,24.124,25.542,1.4187,3.0,49.0,
10,33763,33268,33269,25.542,26.376,0.8340,3.0,49.0,
11,33766,33269,31100,26.376,29.748,3.3719,3.0,49.0,
12,29249,31100,31101,29.748,31.855,2.1071,3.0,49.0,
13,29250,31101,34301,31.855,34.512,2.6563,3.0,49.0,
14,35825,34301,30695,34.512,34.983,0.4709,3.0,49.0,
15,28423,30695,30696,34.983,37.326,2.3438,3.0,49.0,
16,28425,30696,32854,37.326,38.016,0.6901,3.0,49.0,
17,32882,32854,31425,38.016,38.431,0.4148,3.0,49.0,
18,29909,31425,31426,38.431,39.319,0.8874,3.0,49.0,
19,29911,31426,31670,39.319,39.937,0.6181,3.0,49.0,
20,30407,31670,34300,39.937,40.737,0.8007,3.0,49.0,
21,35822,34300,34151,40.737,43.851,3.1137,3.0,49.0,
22,35517,34151,34152,43.851,44.553,0.7022,3.0,49.0,
23,35520,34152,31671,44.553,46.717,2.1640,3.0,49.0,
24,30410,31671,31672,46.717,48.765,2.0477,3.0,49.0,
25,30412,31672,34578,48.765,49.211,0.4460,3.0,49.0,
26,36378,34578,35521,49.211,49.563,0.3515,3.0,49.0,
27,38329,35521,35522,49.563,49.834,0.2710,3.0,49.0,
28,38330,35522,32673,49.834,54.663,4.8296,3.0,49.0,
29,32494,32673,32674,54.663,55.397,0.7343,3.0,49.0,
30,32496,32674,34405,55.397,60.873,5.4756,3.0,49.0,
31,36041,34405,35901,60.873,62.396,1.5231,3.0,49.0,
32,39090,35901,32586,62.396,62.926,0.5302,3.0,49.0,
33,32302,32586,32587,62.926,64.401,1.4747,3.0,49.0,
34,32303,32587,35366,64.401,64.483,0.0816,3.0,49.0,
35,38021,35366,33135,64.483,67.742,3.2598,3.0,49.0,
36,33451,33135,31429,67.742,69.360,1.6178,3.0,49.0,
37,29918,31429,31430,69.360,69.813,0.4524,3.0,49.0,
38,29919,31430,30016,69.813,73.954,4.1417,3.0,49.0,
39,27009,30016,30017,73.954,75.530,1.5762,3.0,49.0,
40,27012,30017,29701,75.530,77.918,2.3875,3.0,49.0,
41,26356,29701,29702,77.918,79.983,2.0646,3.0,49.0,
42,26358,29702,30404,79.983,81.405,1.4223,3.0,49.0,
43,27828,30404,30405,81.405,82.072,0.6675,3.0,49.0,
44,27830,30405,34157,82.072,82.275,0.2024,3.0,49.0,
45,35542,34157,30406,82.275,83.677,1.4022,3.0,49.0,
46,27832,30406,30407,83.677,88.591,4.9142,3.0,49.0,
47,27835,30407,31153,88.591,89.901,1.3096,3.0,49.0,
48,29358,31153,31154,89.901,93.040,3.1394,3.0,49.0,
49,29360,31154,31599,93.040,93.519,0.4785,3.0,49.0,
50,30270,31599,31600,93.519,97.794,4.2752,3.0,49.0,
51,30271,31600,33427,97.794,97.840,0.0461,3.0,49.0,
52,34091,33427,35457,97.840,98.250,0.4099,3.0,49.0,
53,38204,35457,29752,98.250,98.381,0.1316,3.0,49.0,
54,26467,29752,29753,98.381,98.434,0.0521,3.0,49.0,
55,26468,29753,35369,98.434,99.365,0.9315,3.0,49.0,
56,38027,35369,35851,99.365,100.354,0.9893,3.0,49.0,
57,38986,35851,34984,100.354,101.344,0.9892,3.0,49.0,
58,37189,34984,31826,101.344,101.944,0.6005,3.0,49.0,
59,30720,31826,31827,101.944,102.608,0.6637,3.0,49.0,
60,30722,31827,35377,102.608,103.273,0.6651,3.0,49.0,
61,38044,35377,35378,103.273,107.434,4.1617,3.0,49.0,
62,38046,35378,35994,107.434,109.282,1.8476,3.0,49.0,
63,39268,35994,35995,109.282,110.904,1.6216,3.0,49.0,
64,39271,35995,30780,110.904,112.159,1.2554,2.0,49.0,
65,28600,30780,32627,112.159,112.351,0.1918,2.0,49.0,
66,32389,32627,30014,112.351,112.633,0.2822,2.0,49.0,
67,27004,30014,30015,112.633,112.678,0.0453,2.0,49.0,
68,27006,30015,33536,112.678,117.025,4.3463,2.0,49.0,
69,34303,33536,34735,117.025,117.791,0.7666,2.0,49.0,
70,36690,34735,34956,117.791,117.982,0.1908,2.0,49.0,
71,37135,34956,34634,117.982,118.093,0.1109,2.0,49.0,
72,36487,34634,34635,118.093,119.522,1.4295,2.0,49.0,
73,36489,34635,34372,119.522,122.982,3.4600,2.0,49.0,
