rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,250,WB,Merchandise,10367,10247
2,250,WB,Merchandise,10367,10101
3,220,WB,Intermodal,10101,10124
4,200,WB,Intermodal,10101,10130
5,190,EB,Merchandise,10247,10101
6,190,EB,Merchandise,10130,10101
7,170,EB,Merchandise,10364,10101
8,170,EB,Merchandise,10263,10390
9,170,EB,Merchandise,10263,10278
10,170,EB,Merchandise,10263,10242
11,170,EB,Merchandise,10263,10023
12,160,EB,Merchandise,11603,10101
13,160,EB,Merchandise,10263,11702
14,160,EB,Merchandise,10263,11656
15,160,EB,Merchandise,10263,11586
16,160,EB,Merchandise,10263,11033
17,160,EB,Merchandise,10263,10354
18,160,EB,Merchandise,10263,10227
19,160,EB,Merchandise,10263,10139
20,150,WB,Intermodal,10101,10364
21,150,EB,Merchandise,10348,10101
22,150,EB,Merchandise,10263,10556
23,122,WB,Merchandise,11033,10101
24,112,WB,Merchandise,11033,10247
25,90,EB,Merchandise,10130,10390
