train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01Z,1,25,1,0,0,0,1.25,0,0,0,0,222
EB02M,1,25,1,0,0,0,1.0,37,0,0,0,313
EB03Z,1,25,1,0,0,0,1.25,74,0,0,0,296
EB04M,1,25,1,0,0,0,1.0,112,0,0,0,388
EB05Z,1,25,1,0,0,0,1.25,149,0,0,0,371
EB06M,1,25,1,0,0,0,1.0,186,0,0,0,462
EB07Z,1,25,1,0,0,0,1.25,224,0,0,0,446
EB08M,1,25,1,0,0,0,1.0,261,0,0,0,537
EB09Z,1,25,1,0,0,0,1.25,298,0,0,0,520
EB10M,1,25,1,0,0,0,1.0,336,0,0,0,612
EB11G,1,25,1,0,0,0,0.85,373,0,0,0,692
EB12Z,1,25,1,0,0,0,1.25,410,0,0,0,632
EB13M,1,25,1,0,0,0,1.0,448,0,0,0,724
EB14G,1,25,1,0,0,0,0.85,485,0,0,0,804
EB15Z,1,25,1,0,0,0,1.25,522,0,0,0,744
EB16M,1,25,1,0,0,0,1.0,560,0,0,0,836
WB01Z,25,1,2,0,0,0,1.25,17,0,0,0,239
WB02M,25,1,2,0,0,0,1.0,54,0,0,0,330
WB03Z,25,1,2,0,0,0,1.25,91,0,0,0,313
WB04M,25,1,2,0,0,0,1.0,129,0,0,0,405
WB05Z,25,1,2,0,0,0,1.25,166,0,0,0,388
WB06M,25,1,2,0,0,0,1.0,203,0,0,0,479
WB07Z,25,1,2,0,0,0,1.25,241,0,0,0,463
WB08M,25,1,2,0,0,0,1.0,278,0,0,0,554
WB09Z,25,1,2,0,0,0,1.25,315,0,0,0,537
WB10M,25,1,2,0,0,0,1.0,353,0,0,0,629
WB11G,25,1,2,0,0,0,0.85,390,0,0,0,709
WB12Z,25,1,2,0,0,0,1.25,427,0,0,0,649
WB13M,25,1,2,0,0,0,1.0,465,0,0,0,741
WB14G,25,1,2,0,0,0,0.85,502,0,0,0,821
WB15Z,25,1,2,0,0,0,1.25,539,0,0,0,761
WB16M,25,1,2,0,0,0,1.0,577,0,0,0,853
