seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,299,10101,49457,0.000,0.465,0.4646,2.0,14.0,AMARILLO
1,67060,49457,49458,0.465,0.603,0.1388,2.0,14.0,
2,67062,49458,49982,0.603,0.639,0.0360,2.0,14.0,
3,68123,49982,49981,0.639,2.148,1.5083,2.0,39.0,
4,68121,49981,50739,2.148,2.595,0.4471,2.0,39.0,
5,69679,50739,50252,2.595,6.748,4.1534,2.0,49.0,
6,68679,50252,50250,6.748,7.236,0.4875,2.0,49.0,
7,68676,50250,50251,7.236,9.415,2.1792,2.0,49.0,
8,68678,50251,49251,9.415,10.627,1.2118,2.0,49.0,
9,66614,49251,49252,10.627,11.692,1.0655,2.0,49.0,
10,66616,49252,49455,11.692,11.846,0.1535,2.0,49.0,
11,67052,49455,49456,11.846,13.319,1.4732,2.0,49.0,
12,67055,49456,50151,13.319,13.627,0.3077,2.0,49.0,
13,68482,50151,50152,13.627,19.158,5.5316,2.0,49.0,
14,68485,50152,49829,19.158,19.949,0.7909,2.0,49.0,
15,67810,49829,49453,19.949,23.880,3.9305,2.0,49.0,
16,67047,49453,52954,23.880,25.112,1.2326,1.0,49.0,
17,74041,52954,52952,25.112,25.380,0.2678,2.0,49.0,
18,74036,52952,52953,25.380,26.495,1.1152,1.0,49.0,
19,74038,52953,53120,26.495,26.624,0.1286,1.0,49.0,
20,74410,53120,50727,26.624,27.201,0.5774,2.0,49.0,
21,69658,50727,50728,27.201,27.258,0.0568,2.0,49.0,
22,69660,50728,50729,27.258,27.573,0.3150,2.0,49.0,
23,69662,50729,50394,27.573,27.763,0.1904,2.0,49.0,
24,68978,50394,49849,27.763,33.486,5.7224,2.0,49.0,
25,67857,49849,49850,33.486,34.819,1.3330,2.0,49.0,
26,67859,49850,50393,34.819,38.921,4.1023,2.0,49.0,
27,68975,50393,50872,38.921,39.649,0.7280,2.0,49.0,
28,69949,50872,50734,39.649,39.675,0.0259,2.0,49.0,
29,69670,50734,50735,39.675,40.422,0.7472,2.0,49.0,
30,69672,50735,48997,40.422,41.148,0.7256,2.0,49.0,
31,66123,48997,48998,41.148,42.679,1.5313,2.0,49.0,
32,66125,48998,49248,42.679,45.540,2.8610,2.0,49.0,
33,66609,49248,50880,45.540,45.639,0.0992,2.0,49.0,
34,69965,50880,50881,45.639,46.659,1.0193,2.0,49.0,
35,69966,50881,50907,46.659,46.730,0.0712,2.0,49.0,
36,70017,50907,50908,46.730,47.196,0.4662,2.0,49.0,
37,70019,50908,50909,47.196,47.216,0.0198,2.0,49.0,
38,70021,50909,50924,47.216,48.001,0.7855,2.0,49.0,
39,70049,50924,50883,48.001,49.115,1.1137,2.0,49.0,
40,69971,50883,48877,49.115,50.074,0.9589,2.0,49.0,
41,65887,48877,48878,50.074,50.437,0.3636,2.0,49.0,
42,65889,48878,49512,50.437,52.357,1.9191,2.0,49.0,
43,67177,49512,52921,52.357,52.962,0.6055,2.0,49.0,
44,73978,52921,49077,52.962,53.165,0.2029,2.0,49.0,
45,66275,49077,49078,53.165,53.441,0.2760,2.0,49.0,
46,66276,49078,49079,53.441,53.590,0.1491,2.0,49.0,
47,66279,49079,49080,53.590,53.871,0.2808,2.0,49.0,
48,66281,49080,50332,53.871,54.174,0.3033,2.0,49.0,
49,68853,50332,50333,54.174,55.202,1.0283,2.0,49.0,
50,68854,50333,49081,55.202,55.556,0.3531,2.0,49.0,
51,66282,49081,49082,55.556,56.115,0.5592,2.0,49.0,
52,66285,49082,51657,56.115,58.568,2.4537,2.0,49.0,
53,71489,51657,49083,58.568,60.756,2.1878,2.0,49.0,
54,66287,49083,49084,60.756,62.828,2.0720,2.0,49.0,
55,66288,49084,49085,62.828,65.060,2.2312,2.0,49.0,
56,66290,49085,49086,65.060,67.081,2.0217,2.0,49.0,
57,66292,49086,49087,67.081,69.545,2.4641,2.0,49.0,
58,66294,49087,49018,69.545,75.686,6.1408,2.0,49.0,
59,66162,49018,49019,75.686,80.426,4.7401,2.0,49.0,
60,66164,49019,50875,80.426,82.275,1.8492,2.0,49.0,
61,69954,50875,51768,82.275,82.571,0.2953,2.0,49.0,
62,71700,51768,51769,82.571,82.708,0.1369,2.0,49.0,
63,71702,51769,51770,82.708,88.148,5.4400,2.0,49.0,
64,71703,51770,52944,88.148,89.696,1.5483,2.0,49.0,
65,74020,52944,50973,89.696,90.242,0.5459,2.0,49.0,
66,70138,50973,50274,90.242,97.051,6.8098,2.0,49.0,
67,68730,50274,50275,97.051,103.643,6.5913,2.0,49.0,
68,68731,50275,50854,103.643,107.401,3.7585,2.0,46.0,
69,69914,50854,51256,107.401,108.614,1.2128,2.0,49.0,
70,70709,51256,52943,108.614,108.964,0.3496,2.0,49.0,
71,74018,52943,49995,108.964,109.650,0.6860,2.0,49.0,
72,68152,49995,49996,109.650,114.239,4.5890,2.0,49.0,
73,68153,49996,51257,114.239,114.353,0.1148,2.0,49.0,
74,70712,51257,51258,114.353,116.783,2.4295,2.0,49.0,
75,70713,51258,51259,116.783,123.463,6.6804,2.0,49.0,
76,70716,51259,49112,123.463,124.078,0.6151,2.0,49.0,
77,66352,49112,48325,124.078,125.396,1.3178,2.0,49.0,
78,64793,48325,48326,125.396,133.236,7.8393,2.0,49.0,
79,64795,48326,48395,133.236,138.521,5.2859,2.0,49.0,
80,64934,48395,48320,138.521,139.395,0.8733,2.0,49.0,
81,64783,48320,48321,139.395,145.930,6.5355,2.0,49.0,
82,64785,48321,48466,145.930,146.236,0.3054,2.0,49.0,
83,65081,48466,48322,146.236,154.070,7.8344,2.0,49.0,
84,64788,48322,48323,154.070,154.481,0.4106,2.0,49.0,
85,64789,48323,48324,154.481,155.450,0.9698,2.0,49.0,
86,64792,48324,48560,155.450,159.709,4.2586,2.0,49.0,
87,65267,48560,52635,159.709,160.016,0.3072,2.0,49.0,
88,73433,52635,48558,160.016,161.431,1.4149,2.0,49.0,
89,65264,48558,48559,161.431,166.094,4.6629,2.0,35.0,
90,65265,48559,48469,166.094,166.766,0.6721,2.0,35.0,
91,65087,48469,47699,166.766,170.016,3.2501,2.0,35.0,
92,63538,47699,47700,170.016,170.424,0.4078,2.0,49.0,
93,63540,47700,48816,170.424,170.804,0.3794,2.0,49.0,
94,65763,48816,52638,170.804,179.743,8.9392,2.0,49.0,
95,73438,52638,48344,179.743,179.888,0.1452,2.0,49.0,
96,64832,48344,48345,179.888,183.803,3.9145,2.0,49.0,
97,64833,48345,48516,183.803,188.252,4.4499,2.0,49.0,
98,65178,48516,48472,188.252,189.574,1.3219,2.0,49.0,
99,65093,48472,48473,189.574,192.919,3.3445,2.0,49.0,
100,65094,48473,48470,192.919,195.347,2.4280,2.0,49.0,
101,65088,48470,48471,195.347,195.604,0.2569,2.0,49.0,
102,65090,48471,48743,195.604,197.303,1.6993,2.0,49.0,
103,65634,48743,48841,197.303,198.221,0.9180,2.0,49.0,
104,65813,48841,48844,198.221,200.099,1.8776,2.0,49.0,
105,65820,48844,47157,200.099,200.278,0.1798,2.0,49.0,
106,62492,47157,48840,200.278,203.823,3.5447,2.0,49.0,
107,65810,48840,47154,203.823,204.849,1.0256,2.0,39.0,
108,62485,47154,47155,204.849,206.027,1.1783,2.0,39.0,
109,62487,47155,47156,206.027,206.368,0.3409,2.0,49.0,
110,62489,47156,10350,206.368,206.953,0.5855,2.0,49.0,
