seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,4884,11403,38670,0.000,0.663,0.6635,2.0,21.0,SOUTH ROANOKE
1,45004,38670,38668,0.663,0.728,0.0643,2.0,21.0,
2,44999,38668,38669,0.728,1.180,0.4524,2.0,21.0,
3,45001,38669,40258,1.180,1.358,0.1773,2.0,21.0,
4,48290,40258,40259,1.358,2.001,0.6437,2.0,21.0,
5,48292,40259,40260,2.001,2.565,0.5633,2.0,21.0,
6,48293,40260,40261,2.565,3.903,1.3389,2.0,21.0,
7,48295,40261,40262,3.903,4.483,0.5794,2.0,21.0,
8,48298,40262,44814,4.483,4.524,0.0416,2.0,21.0,
9,57719,44814,40183,4.524,4.582,0.0575,2.0,21.0,
10,48149,40183,40161,4.582,4.635,0.0530,2.0,21.0,
11,48106,40161,40160,4.635,5.103,0.4684,2.0,21.0,
12,48105,40160,39424,5.103,5.461,0.3575,2.0,28.0,
13,46602,39424,39425,5.461,5.914,0.4529,1.0,25.0,
14,46604,39425,40184,5.914,6.919,1.0049,1.0,25.0,
15,48151,40184,44697,6.919,7.164,0.2449,1.0,25.0,
16,57461,44697,44815,7.164,7.344,0.1801,1.0,28.0,
17,57722,44815,39725,7.344,7.683,0.3392,1.0,28.0,
18,47264,39725,39726,7.683,9.648,1.9651,1.0,28.0,
19,47267,39726,39995,9.648,9.900,0.2518,1.0,25.0,
20,47807,39995,39994,9.900,10.386,0.4866,2.0,32.0,
21,47805,39994,44406,10.386,10.438,0.0515,2.0,32.0,
22,56861,44406,39693,10.438,11.679,1.2413,2.0,32.0,
23,47196,39693,39692,11.679,15.925,4.2457,2.0,32.0,
24,47194,39692,39993,15.925,17.328,1.4031,2.0,28.0,
25,47804,39993,40100,17.328,20.103,2.7749,2.0,28.0,
26,47994,40100,39988,20.103,20.195,0.0923,2.0,25.0,
27,47794,39988,39681,20.195,23.612,3.4171,2.0,21.0,
28,47173,39681,39680,23.612,27.354,3.7418,2.0,21.0,
29,47170,39680,39975,27.354,27.614,0.2601,2.0,21.0,
30,47767,39975,39974,27.614,31.897,4.2832,2.0,21.0,
31,47766,39974,39973,31.897,32.312,0.4150,2.0,21.0,
32,47764,39973,39683,32.312,32.841,0.5286,2.0,21.0,
33,47176,39683,39684,32.841,38.033,5.1923,2.0,21.0,
34,47179,39684,39685,38.033,38.053,0.0200,2.0,21.0,
35,47180,39685,39421,38.053,40.186,2.1326,2.0,21.0,
36,46593,39421,39420,40.186,40.699,0.5131,1.0,25.0,
37,46592,39420,39422,40.699,43.596,2.8975,1.0,25.0,
38,46597,39422,39554,43.596,43.741,0.1449,1.0,25.0,
39,46912,39554,39553,43.741,44.694,0.9524,1.0,25.0,
40,46910,39553,39871,44.694,44.732,0.0380,1.0,25.0,
41,47559,39871,39686,44.732,47.126,2.3943,2.0,25.0,
42,47182,39686,39101,47.126,50.483,3.3574,1.0,25.0,
43,45921,39101,39100,50.483,54.435,3.9518,1.0,21.0,
44,45919,39100,39949,54.435,58.670,4.2351,1.0,25.0,
45,47717,39949,39733,58.670,61.284,2.6133,1.0,25.0,
46,47280,39733,39732,61.284,62.573,1.2892,1.0,25.0,
47,47278,39732,39118,62.573,67.914,5.3413,1.0,25.0,
48,45955,39118,39091,67.914,70.826,2.9118,2.0,25.0,
49,45898,39091,39090,70.826,71.902,1.0759,2.0,25.0,
50,45896,39090,41653,71.902,76.124,4.2221,2.0,25.0,
51,51199,41653,41654,76.124,77.506,1.3818,2.0,25.0,
52,51201,41654,40006,77.506,78.480,0.9738,2.0,25.0,
53,47827,40006,40005,78.480,78.495,0.0156,2.0,25.0,
54,47825,40005,43998,78.495,82.186,3.6910,2.0,25.0,
55,56071,43998,43997,82.186,84.974,2.7882,2.0,25.0,
