train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01Z,1,26,1,0,0,0,1.25,0,0,0,0,256
EB02Z,1,26,1,0,0,0,1.25,18,0,0,0,274
EB03Z,1,26,1,0,0,0,1.25,36,0,0,0,292
EB04Z,1,26,1,0,0,0,1.25,54,0,0,0,310
EB05M,1,26,1,0,0,0,1.0,90,0,0,0,408
EB06M,1,26,1,0,0,0,1.0,130,0,0,0,448
EB07G,1,26,1,0,0,0,0.85,170,0,0,0,541
EB08M,1,26,1,0,0,0,1.0,210,0,0,0,528
EB09M,1,26,1,0,0,0,1.0,250,0,0,0,568
EB10G,1,26,1,0,0,0,0.85,290,0,0,0,661
EB11M,1,26,1,0,0,0,1.0,330,0,0,0,648
EB12M,1,26,1,0,0,0,1.0,370,0,0,0,688
EB13G,1,26,1,0,0,0,0.85,410,0,0,0,781
EB14Z,1,26,1,0,0,0,1.25,430,0,0,0,686
EB15Z,1,26,1,0,0,0,1.25,448,0,0,0,704
EB16Z,1,26,1,0,0,0,1.25,466,0,0,0,722
WB01Z,26,1,2,0,0,0,1.25,15,0,0,0,271
WB02Z,26,1,2,0,0,0,1.25,33,0,0,0,289
WB03Z,26,1,2,0,0,0,1.25,51,0,0,0,307
WB04Z,26,1,2,0,0,0,1.25,69,0,0,0,325
WB05M,26,1,2,0,0,0,1.0,105,0,0,0,423
WB06M,26,1,2,0,0,0,1.0,145,0,0,0,463
WB07G,26,1,2,0,0,0,0.85,185,0,0,0,556
WB08M,26,1,2,0,0,0,1.0,225,0,0,0,543
WB09M,26,1,2,0,0,0,1.0,265,0,0,0,583
WB10G,26,1,2,0,0,0,0.85,305,0,0,0,676
WB11M,26,1,2,0,0,0,1.0,345,0,0,0,663
WB12M,26,1,2,0,0,0,1.0,385,0,0,0,703
WB13G,26,1,2,0,0,0,0.85,425,0,0,0,796
WB14Z,26,1,2,0,0,0,1.25,445,0,0,0,701
WB15Z,26,1,2,0,0,0,1.25,463,0,0,0,719
WB16Z,26,1,2,0,0,0,1.25,481,0,0,0,737
