seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed
0,422,10130,45067,0.000,0.128,0.1284,2.0,7.0
1,58240,45067,47946,0.128,3.196,3.0675,2.0,49.0
2,64036,47946,52422,3.196,4.917,1.7213,2.0,49.0
3,73019,52422,48022,4.917,5.179,0.2615,2.0,49.0
4,64172,48022,48023,5.179,7.892,2.7132,2.0,49.0
5,64174,48023,48158,7.892,9.896,2.0043,2.0,49.0
6,64448,48158,48157,9.896,13.616,3.7198,2.0,49.0
7,64445,48157,48156,13.616,15.390,1.7738,2.0,49.0
8,64444,48156,45064,15.390,18.653,3.2633,2.0,49.0
9,58230,45064,53028,18.653,20.408,1.7548,2.0,49.0
10,74200,53028,53027,20.408,21.156,0.7480,2.0,35.0
11,74197,53027,45066,21.156,24.933,3.7772,2.0,28.0
12,58237,45066,48085,24.933,25.209,0.2759,1.0,28.0
13,64298,48085,48086,25.209,26.483,1.2744,2.0,32.0
14,64301,48086,47985,26.483,26.709,0.2261,2.0,32.0
15,64109,47985,47986,26.709,27.014,0.3050,2.0,32.0
16,64112,47986,48055,27.014,28.280,1.2657,2.0,32.0
17,64238,48055,48056,28.280,31.178,2.8977,2.0,32.0
18,64239,48056,48041,31.178,33.861,2.6835,2.0,39.0
19,64209,48041,47938,33.861,37.195,3.3337,2.0,39.0
20,64023,47938,47939,37.195,40.379,3.1840,2.0,39.0
21,64025,47939,47984,40.379,45.602,5.2234,2.0,49.0
22,64107,47984,47765,45.602,48.094,2.4916,2.0,49.0
23,63679,47765,47766,48.094,52.783,4.6885,2.0,49.0
24,63682,47766,53085,52.783,53.792,1.0098,2.0,49.0
25,74337,53085,48079,53.792,54.127,0.3347,2.0,49.0
26,64286,48079,48080,54.127,59.046,4.9190,2.0,49.0
27,64289,48080,47944,59.046,60.811,1.7652,2.0,49.0
28,64033,47944,47945,60.811,65.202,4.3911,2.0,49.0
29,64035,47945,47982,65.202,67.395,2.1922,2.0,49.0
30,64103,47982,47983,67.395,70.268,2.8735,2.0,49.0
31,64105,47983,47980,70.268,72.148,1.8796,2.0,49.0
32,64099,47980,47981,72.148,75.211,3.0631,2.0,49.0
33,64102,47981,48074,75.211,76.480,1.2696,2.0,49.0
34,64277,48074,48075,76.480,79.589,3.1092,2.0,49.0
35,64278,48075,48076,79.589,81.462,1.8728,2.0,49.0
36,64280,48076,48077,81.462,81.881,0.4190,2.0,49.0
37,64283,48077,48078,81.881,85.384,3.5028,2.0,49.0
38,64284,48078,47763,85.384,87.772,2.3877,2.0,49.0
39,63676,47763,47764,87.772,90.957,3.1857,2.0,49.0
40,63677,47764,48044,90.957,92.721,1.7638,2.0,49.0
41,64216,48044,48045,92.721,95.526,2.8048,2.0,49.0
42,64217,48045,48129,95.526,97.436,1.9103,1.0,49.0
43,64389,48129,48127,97.436,100.556,3.1201,1.0,42.0
44,64384,48127,48128,100.556,101.396,0.8397,1.0,42.0
