round,group_id,agents,group_size,priority_agent,budget,rho,conflicts_before,conflicts_after,accepted,reduced_feasible,full_feasible,reduced_states,reduced_transitions,screened,full_states,full_transitions,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,0|1,2,0,6,0.18,32,31,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000246146,0.000494454
0,1,2|3,2,2,6,0.18,31,30,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000214228,0.000461745
0,2,4|5,2,4,6,0.18,30,29,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000213817,0.00050559
0,3,6|7,2,6,6,0.18,29,28,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000238684,0.000427855
0,4,8|9,2,8,6,0.18,28,27,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000212606,0.000445672
0,5,10|11,2,10,6,0.18,27,26,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000207017,0.000423028
0,6,12|13,2,12,6,0.18,26,25,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000231353,0.000449477
0,7,14|15,2,14,6,0.18,25,24,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000202241,0.000415086
0,8,16|17,2,16,6,0.18,24,23,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000213436,0.000445311
0,9,18|19,2,18,6,0.18,23,22,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000208179,0.000419532
0,10,20|21,2,20,6,0.18,22,21,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000211454,0.000440814
0,11,22|23,2,22,6,0.18,21,20,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000270281,0.000685056
0,12,24|25,2,24,6,0.18,20,19,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000286945,0.000449647
0,13,26|27,2,26,6,0.18,19,18,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000205445,0.000432572
0,14,28|29,2,28,6,0.18,18,17,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000210623,0.000435096
0,15,30|31,2,30,6,0.18,17,16,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000226526,0.000428706
0,16,32|33,2,32,6,0.18,16,15,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000209771,0.000436848
0,17,34|35,2,34,6,0.18,15,14,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000206025,0.000433313
0,18,36|37,2,36,6,0.18,14,13,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000208489,0.000448094
0,19,38|39,2,38,6,0.18,13,12,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000204504,0.000423969
0,20,40|41,2,40,6,0.18,12,11,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000212205,0.000445291
0,21,42|43,2,42,6,0.18,11,10,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000210252,0.000443258
0,22,44|45,2,44,6,0.18,10,9,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000213276,0.00044474
0,23,46|47,2,46,6,0.18,9,8,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000203772,0.000429958
0,24,48|49,2,48,6,0.18,8,7,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000212716,0.00046518
0,25,50|51,2,50,6,0.18,7,6,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000204994,0.000501384
0,26,52|53,2,52,6,0.18,6,5,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000532119,0.000454104
0,27,54|55,2,54,6,0.18,5,4,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000208099,0.000437179
0,28,56|57,2,56,6,0.18,4,3,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000215209,0.000481394
0,29,58|59,2,58,6,0.18,3,2,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000203081,0.000433103
0,30,60|61,2,60,6,0.18,2,1,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.00020854,0.000473302
0,31,62|63,2,62,6,0.18,1,0,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.00020264,0.000427324
