agent_id,start_node,target_node,earliest_departure,preferred_arrival,latest_arrival,move_interval,train_class,wait_cost,tardiness_cost,prox_weight,spacing_weight,desired_spacing
0,24,25,0,14,31,1,express,0.2,1.2,0.8,0.18,2.0
1,26,27,1,17,37,2,freight,0.18,1.0,0.8,0.18,2.0
2,28,29,24,38,55,1,regional,0.2,1.0,0.8,0.18,2.0
3,30,31,25,41,61,2,slow_freight,0.18,0.9,0.8,0.18,2.0
4,56,57,2,16,33,1,express,0.2,1.2,0.8,0.18,2.0
5,58,59,3,19,39,1,regional,0.18,1.0,0.8,0.18,2.0
6,60,61,26,40,57,1,regional,0.2,1.0,0.8,0.18,2.0
7,62,63,27,43,63,1,regional,0.18,0.9,0.8,0.18,2.0
8,88,89,4,18,35,1,express,0.2,1.2,0.8,0.18,2.0
9,90,91,5,21,41,1,regional,0.18,1.0,0.8,0.18,2.0
10,92,93,28,42,59,1,regional,0.2,1.0,0.8,0.18,2.0
11,94,95,29,45,65,1,regional,0.18,0.9,0.8,0.18,2.0
12,120,121,6,20,37,1,express,0.2,1.2,0.8,0.18,2.0
13,122,123,7,23,43,2,freight,0.18,1.0,0.8,0.18,2.0
14,124,125,30,44,61,1,regional,0.2,1.0,0.8,0.18,2.0
15,126,127,31,47,67,1,regional,0.18,0.9,0.8,0.18,2.0
16,152,153,8,22,39,1,express,0.2,1.2,0.8,0.18,2.0
17,154,155,9,25,45,1,regional,0.18,1.0,0.8,0.18,2.0
18,156,157,32,46,63,1,regional,0.2,1.0,0.8,0.18,2.0
19,158,159,33,49,69,2,slow_freight,0.18,0.9,0.8,0.18,2.0
20,184,185,0,14,31,1,express,0.2,1.2,0.8,0.18,2.0
21,186,187,1,17,37,1,regional,0.18,1.0,0.8,0.18,2.0
22,188,189,24,38,55,1,regional,0.2,1.0,0.8,0.18,2.0
23,190,191,25,41,61,1,regional,0.18,0.9,0.8,0.18,2.0
24,216,217,2,16,33,1,express,0.2,1.2,0.8,0.18,2.0
25,218,219,3,19,39,2,freight,0.18,1.0,0.8,0.18,2.0
26,220,221,26,40,57,1,regional,0.2,1.0,0.8,0.18,2.0
27,222,223,27,43,63,1,regional,0.18,0.9,0.8,0.18,2.0
28,248,249,4,18,35,1,express,0.2,1.2,0.8,0.18,2.0
29,250,251,5,21,41,1,regional,0.18,1.0,0.8,0.18,2.0
30,252,253,28,42,59,1,regional,0.2,1.0,0.8,0.18,2.0
31,254,255,29,45,65,1,regional,0.18,0.9,0.8,0.18,2.0
32,280,281,6,20,37,1,express,0.2,1.2,0.8,0.18,2.0
33,282,283,7,23,43,1,regional,0.18,1.0,0.8,0.18,2.0
34,284,285,30,44,61,1,regional,0.2,1.0,0.8,0.18,2.0
35,286,287,31,47,67,2,slow_freight,0.18,0.9,0.8,0.18,2.0
36,312,313,8,22,39,1,express,0.2,1.2,0.8,0.18,2.0
37,314,315,9,25,45,2,freight,0.18,1.0,0.8,0.18,2.0
