agent_id,start_node,target_node,earliest_departure,preferred_arrival,latest_arrival,move_interval,train_class,wait_cost,tardiness_cost,prox_weight,spacing_weight,desired_spacing
0,16,17,0,16,27,1,passenger,0.22,1.2,1.0,0.25,2.0
1,18,19,1,30,43,2,freight,0.18,0.9,1.0,0.25,2.0
2,36,37,2,18,29,1,passenger,0.22,1.2,1.0,0.25,2.0
3,38,39,3,32,45,1,passenger,0.18,0.9,1.0,0.25,2.0
4,56,57,4,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
5,58,59,5,34,47,1,passenger,0.18,0.9,1.0,0.25,2.0
6,76,77,6,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
7,78,79,7,36,49,2,freight,0.18,0.9,1.0,0.25,2.0
8,96,97,0,16,27,1,passenger,0.22,1.2,1.0,0.25,2.0
9,98,99,1,30,43,1,passenger,0.18,0.9,1.0,0.25,2.0
10,116,117,2,18,29,1,passenger,0.22,1.2,1.0,0.25,2.0
11,118,119,3,32,45,1,passenger,0.18,0.9,1.0,0.25,2.0
