round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,3,1,0,324736,760562,0,0,2132,88.699,1e+100,0.0978767,0
0,1,3,1,0,267507,883559,0,0,4245,71.6208,1e+100,0.0955754,0
0,2,3,1,0,254811,870863,0,0,4245,72.9008,1e+100,0.0925338,0
0,3,3,1,0,288646,724263,0,0,2132,92.539,1e+100,0.0832618,0
0,4,3,1,0,280203,896255,0,0,4245,70.3408,1e+100,0.0984623,0
0,5,3,1,0,267507,883559,0,0,4245,71.6208,1e+100,0.0870084,0
0,6,3,1,0,300676,736502,0,0,2132,91.259,1e+100,0.0858289,0
0,7,3,1,0,242115,858167,0,0,4245,74.1808,1e+100,0.0800939,0
0,8,3,1,0,280203,896255,0,0,4245,70.3408,1e+100,0.0915915,0
0,9,3,1,0,312706,748532,0,0,2132,89.979,1e+100,0.0882515,0
0,10,3,1,0,254811,870863,0,0,4245,72.9008,1e+100,0.0837245,0
0,11,3,1,0,242115,858167,0,0,4245,74.1808,1e+100,0.0806681,0
0,12,3,1,0,324736,760562,0,0,2132,88.699,1e+100,0.0962751,0
0,13,3,1,0,267507,883559,0,0,4245,71.6208,1e+100,0.0869357,0
0,14,3,1,0,254811,870863,0,0,4245,72.9008,1e+100,0.0830325,0
0,15,3,1,0,288646,724263,0,0,2132,92.539,1e+100,0.0857079,0
